CD45,CD3,CD8,CD4,CD20,CD68,CD11c,MPO,Pan-Keratin,Beta catenin,Keratin17,Vimentin,SMA,CD31,FoxP3,HLA-DR,celltype,SampleID
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.2738,2.0017,-0.2738,-0.123,-0.378,-0.167,-0.0763,-0.6715,Tumor,26
0.3018,0.8959,3.224,-0.3754,0.2609,-0.3548,-0.3597,-0.139,-0.5577,-0.8456,-0.2738,-0.3308,-0.378,-0.167,-0.0763,-0.3787,CD8 T cell,13
0.144,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.3838,-0.2738,0.0687,-0.378,-0.167,-0.0763,2.3116,Neutrophil,36
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.2045,-0.8456,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,15
0.0004,-0.4458,-0.374,-0.3754,-0.3554,0.4361,-0.3597,-0.139,-0.378,-0.7418,-0.2738,1.4205,-0.378,-0.167,-0.0763,0.6064,Dendritic cell,33
-0.7477,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.1538,0.2911,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,18
-0.7953,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,2.0666,-0.1284,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,34
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.7062,1.6806,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,21
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3454,-0.3597,-0.139,0.316,-0.8456,-0.2738,-0.822,-0.133,-0.167,-0.0763,-0.2848,Tumor,22
0.2466,-0.4458,-0.374,-0.3754,-0.3554,0.8632,0.5099,1.4895,-0.5577,-0.3065,-0.2738,1.7096,1.928,-0.167,-0.0763,0.2557,Neutrophil,41
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.1824,-0.3597,-0.139,-0.5577,0.4246,3.237,-0.822,-0.378,-0.167,-0.0763,-0.4774,Tumor,24
-0.6924,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.9298,0.3907,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6112,Tumor,3
1.0828,1.01,-0.1543,1.6174,-0.3554,0.7892,-0.051,-0.139,-0.5577,-0.8456,-0.2738,1.4114,-0.378,-0.167,-0.0763,0.3991,CD4 T cell,13
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,0.1101,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,26
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,1.9972,-0.8456,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,33
